Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
1;09.07.2016; Frau ; Prof. ; Pauline ; Oberländer ; 17.7.1980 ; Oberschlesier Str. 24 ;55546; Biebelsheim ; 06701 / 52368165 ; 0165 / 5518460 ; 06701 / 11809568 ; pauline.oberlaender@mail.xyz ; ja
2;18.09.2016; Frau ; Dr. ; Alissa ; Tillmann ; 18.4.1977 ; Norbertstr. 109 ;96242; Sonnefeld ; 09562 / 13093069 ; 0165 / 9607659 ; 09562 / 15596418 ; a.tillmann@mail.xyz ; ja
3;28.09.2016; Frau ; Dr. ; Marta ; Armbruster ; 5.11.1946 ; Düsseldorfer Str. 31 ;14167; Lichterfelde ; 030 / 86584611 ; 0160 / 4521301 ; 030 / 23845953 ; marta.armbruster@mail.xyz ; ja
4;29.10.2016; Frau ; Dr. ; Julie ; Marktschreier ; 13.2.1998 ; Kösliner Str. 18 ;97511; Lülsfeld ; 09382 / 58247254 ; 0171 / 2130807 ; 09382 / 56818688 ; j.marktschreier@mail.xyz ; ja
5;04.05.2016; Herr ; Dr. ; Mats ; Eberhardt ; 7.3.1927 ; Jägerstr. A 189 ;85253; Erdweg ; 08138 / 18127275 ; 0175 / 7393344 ; 08138 / 59542383 ; m.eberhardt@mail.xyz ; ja
6;23.10.2016; Frau ; Dr. ; Alena ; Harper ; 22.7.1943 ; Rottkamp 35 ;24937; Flensburg ; 0461 / 69587109 ; 0165 / 9305365 ; 0461 / 89196050 ; alena.harper@mail.xyz ; ja
7;03.09.2016; Frau ; Dr. ; Ayleen ; Böttner ; 17.5.1966 ; Schmeddingstr. 77a ;67280; Quirnheim ; 06359 / 77049142 ; 0170 / 9453378 ; 06359 / 27275587 ; a.boettner@mail.xyz ; ja
8;20.07.2016; Herr ; Dr. ; Lennart ; Hage ; 23.3.1950 ; Wollinstr. 141 ;93495; Weiding ; 09977 / 69629484 ; 0164 / 5262209 ; 09977 / 3397443 ; lennart.hage@mail.xyz ; ja
9;22.02.2016; Frau ; Dr. ; Hildegard ; Reitmeier ; 13.10.1982 ; Lassallestr. 93 ;24392; Ekenis ; 04641 / 75410654 ; 0157 / 4682470 ; 04641 / 15172320 ; h.reitmeier@mail.xyz ; ja
10;14.07.2016; Frau ; Prof. ; Marta ; Schätzle ; 14.11.1966 ; Parkallee 30 ;99097; Erfurt ; 0361 / 26848345 ; 0157 / 3101938 ; 0361 / 8040848 ; m.schaetzle@mail.xyz ; ja
11;18.06.2016; Herr ; Dr. ; Nils ; Lehr ; 25.9.1966 ; Holunderweg 84 ;47443; Moers ; 02841 / 69105027 ; 0166 / 5493710 ; 02841 / 49125626 ; nils.lehr@mail.xyz ; ja
12;13.03.2016; Frau ; Dr. ; Maren ; Pätzold ; 19.9.1935 ; Meckmannweg 90 ;28870; Ottersberg ; 04205 / 98161149 ; 0165 / 7567717 ; 04205 / 8032272 ; maren.paetzold@mail.xyz ; ja
13;18.12.2016; Frau ; Dr. ; Lilian ; Behr ; 9.6.1975 ; Düsseldorfer Str. 149 ;56348; Weisel ; 06774 / 84097147 ; 0175 / 6719999 ; 06774 / 21323007 ; lilian.behr@mail.xyz ; ja
14;07.09.2016; Herr ; Dr. ; Rudolph ; Kara ; 22.8.1945 ; An Lyskirchen 149 ;36145; Hofbieber ; 06657 / 34977153 ; 0175 / 2875513 ; 06657 / 35829710 ; r.kara@mail.xyz ; ja
15;16.01.2016; Frau ; Dr. ; Sarah ; Wilhelmi ; 9.11.1954 ; Zur Wiese 155 ;27308; Kirchlinteln ; 04236 / 14744773 ; 0166 / 6676915 ; 04236 / 88653030 ; s.wilhelmi@mail.xyz ; ja
16;23.03.2016; Frau ; Dr. ; Marianne ; Ballard ; 18.10.1921 ; Heroldstr. 148 ;56244; Wölferlingen ; 02626 / 1974325 ; 0155 / 8951364 ; 02626 / 8098180 ; marianne.ballard@mail.xyz ; ja
17;23.05.2016; Frau ; Dr. ; Lea ; Siemon ; 4.6.1983 ; Simon-Meister-Str. 132 ;63928; Eichenbühl ; 09371 / 86624894 ; 0175 / 4018099 ; 09371 / 7968966 ; l.siemon@mail.xyz ; ja
18;15.09.2016; Frau ; Prof. ; Leoni ; Hetzel ; 19.4.1960 ; Osthuesheide 153 ;66113; Saarbrücken ; 0681 / 54998474 ; 0167 / 4147842 ; 0681 / 90143883 ; l.hetzel@mail.xyz ; ja
19;29.09.2016; Herr ; Dr. ; Anthony ; Muller ; 15.6.1940 ; Rennbahnstr. 64 ;74867; Neunkirchen ; 06262 / 97528456 ; 0161 / 3361271 ; 06262 / 35771621 ; anthony.muller@mail.xyz ; ja
20;25.06.2016; Herr ; Dr. ; Malte ; Ostrowski ; 17.1.1972 ; Mondstr. 38 ;27333; Warpe ; 04251 / 6347895 ; 0155 / 9734287 ; 04251 / 40754197 ; malte.ostrowski@mail.xyz ; ja
21;14.10.2016; Frau ; Dr. ; Laila ; Michels ; 3.5.1982 ; Steinfurter Str. 123 ;78269; Volkertshausen ; 07774 / 24734765 ; 0156 / 2897457 ; 07774 / 94823023 ; laila.michels@mail.xyz ; ja
22;06.07.2016; Herr ; Dr. ; Klaas ; Ebeling ; 17.1.1970 ; Holunderweg 90 ;23911; Salem ; 04547 / 5933306 ; 0175 / 2281687 ; 04547 / 84349695 ; klaas.ebeling@mail.xyz ; ja
23;19.09.2016; Herr ; Prof. ; Malte ; Lloyd ; 28.4.1936 ; Am Getterbach 35 ;76887; Bad Bergzabern ; 06343 / 42411938 ; 0163 / 9038153 ; 06343 / 5614682 ; m.lloyd@mail.xyz ; ja
24;04.01.2016; Herr ; Dr. ; Milan ; Hinrichsen ; 17.8.1925 ; Hermann-Treff-Weg 187 ;82276; Adelshofen ; 08146 / 68517511 ; 0157 / 4925703 ; 08146 / 68108129 ; m.hinrichsen@mail.xyz ; ja
25;22.09.2016; Frau ; Dr. ; Jenny ; Balke ; 18.7.1990 ; Am Hörsterfriedhof 166 ;83122; Samerberg ; 08032 / 13813186 ; 0172 / 5605757 ; 08032 / 96384609 ; jenny.balke@mail.xyz ; ja
26;19.01.2016; Herr ; Dr. ; Tore ; Richardson ; 14.1.2000 ; Lassallestr. 57 ;37077; Göttingen ; 0551 / 40027646 ; 0173 / 4991510 ; 0551 / 36061052 ; t.richardson@mail.xyz ; ja
27;19.03.2016; Frau ; Dr. ; Louise ; Wiese ; 22.9.1962 ; An den Weiden 173 ;99986; Kammerforst ; 03601 / 11939155 ; 0165 / 3583595 ; 03601 / 60115883 ; l.wiese@mail.xyz ; ja
28;16.01.2016; Herr ; Dr. ; Gert ; Sieben ; 7.11.1924 ; Kreuzstr. 12 ;55126; Mainz am Rhein ; 06131 / 73195266 ; 0166 / 3152540 ; 06131 / 97752933 ; gert.sieben@mail.xyz ; ja
29;07.02.2016; Frau ; Dr. ; Stina ; Schweigert ; 10.3.1935 ; Fresnostr. 127 ;56479; Neunkirchen ; 02664 / 94646204 ; 0163 / 6367040 ; 02664 / 88750212 ; s.schweigert@mail.xyz ; ja
30;29.10.2016; Herr ; Dr. ; Heiko ; Doyle ; 19.5.1936 ; Rottkamp 58 ;56479; Neustadt ; 02664 / 24861569 ; 0178 / 2679185 ; 02664 / 12288335 ; h.doyle@mail.xyz ; ja
31;29.11.2016; Herr ; Dr. ; Aaron ; Nass ; 15.5.1977 ; Am Grauen Stein 120 ;24881; Nübel ; 04622 / 54192435 ; 0152 / 6608659 ; 04622 / 18997294 ; a.nass@mail.xyz ; ja
32;28.06.2016; Herr ; Dr. ; Jeremy ; Lamers ; 10.1.1947 ; Memmertweg 104 ;91614; Mönchsroth ; 09853 / 6580579 ; 0171 / 6122705 ; 09853 / 84997518 ; jeremy.lamers@mail.xyz ; ja
33;15.12.2016; Herr ; Dr. ; Damian ; Küppers ; 21.10.1993 ; Schwalbenweg 19 ;39120; Magdeburg ; 0391 / 8291342 ; 0155 / 4661005 ; 0391 / 24211264 ; damian.kueppers@mail.xyz ; ja
34;13.06.2016; Frau ; Dr. ; Janne ; Furt ; 21.3.1948 ; Janningsweg 170 ;17217; Mallin ; 03962 / 19594463 ; 0161 / 3822065 ; 03962 / 18744174 ; janne.furt@mail.xyz ; ja
35;11.08.2016; Frau ; Dr. ; Jessica ; Reinke ; 10.2.1938 ; Hogenbergstr. 19 ;65558; Isselbach ; 06432 / 59611174 ; 0175 / 3399167 ; 06432 / 92555028 ; j.reinke@mail.xyz ; ja
36;24.05.2016; Herr ; Prof. ; Marcus ; Herrera ; 22.11.1967 ; Pötterhoek 180 ;47647; Kerken ; 02833 / 94606318 ; 0168 / 2531835 ; 02833 / 2508243 ; m.herrera@mail.xyz ; ja
37;04.09.2016; Herr ; Dr. ; Manuel ; Saalmann ; 27.6.1920 ; Düsseldorfer Str. 140 ;66851; Bann ; 06372 / 88939044 ; 0169 / 4806867 ; 06372 / 79800012 ; manuel.saalmann@mail.xyz ; ja
38;01.03.2016; Herr ; Dr. ; Jeremy ; Herter ; 8.7.1996 ; Maximilianstr. 72 ;55413; Trechtingshausen ; 06721 / 41179800 ; 0152 / 6266442 ; 06721 / 54788805 ; jeremy.herter@mail.xyz ; ja
39;07.01.2016; Herr ; Dr. ; Dario ; Stewart ; 23.8.1978 ; Immelmannstr. 154 ;27337; Blender ; 04233 / 60337812 ; 0158 / 1236208 ; 04233 / 39222656 ; d.stewart@mail.xyz ; ja
40;13.04.2016; Frau ; Dr. ; Marianne ; Fahl ; 26.11.1942 ; Ossenkampstiege 188 ;97834; Birkenfeld ; 09398 / 78155378 ; 0178 / 4800107 ; 09398 / 54013705 ; m.fahl@mail.xyz ; ja
41;28.04.2016; Herr ; Dr. ; Erich ; Schaper ; 3.3.1982 ; Im Stemmen 159 ;24796; Krummwisch ; 04340 / 17714487 ; 0174 / 8961028 ; 04340 / 44651435 ; erich.schaper@mail.xyz ; ja
42;24.07.2016; Frau ; Prof. ; Kerstin ; Pfaff ; 26.9.1920 ; Langestr. 13 ;23554; Lübeck ; 0451 / 92744765 ; 0157 / 7595790 ; 0451 / 98353162 ; kerstin.pfaff@mail.xyz ; ja
43;20.11.2016; Herr ; Prof. ; Noah ; Romero ; 4.1.1938 ; Elsa-Brändström-Weg 181a ;95346; Stadtsteinach ; 09225 / 86832476 ; 0151 / 8001259 ; 09225 / 55598423 ; noah.romero@mail.xyz ; ja
44;02.03.2016; Herr ; Dr. ; Noel ; Schober ; 10.12.1920 ; Dreizehnerstr. 161 ;79777; Ühlingen-Birkendorf ; 07743 / 40550055 ; 0175 / 9454790 ; 07743 / 78532512 ; noel.schober@mail.xyz ; ja
45;10.04.2016; Frau ; Dr. ; Christine ; Hubbard ; 28.9.1991 ; Liboristr. 11 ;88319; Aitrach ; 07565 / 78873566 ; 0169 / 2789218 ; 07565 / 92125764 ; christine.hubbard@mail.xyz ; ja
46;03.09.2016; Frau ; Dr. ; Sandra ; Lindemann ; 18.12.1961 ; Mondstr. 25 ;31241; Ilsede ; 05172 / 31217426 ; 0151 / 1137055 ; 05172 / 77604796 ; sandra.lindemann@mail.xyz ; ja
47;15.05.2016; Herr ; Dr. ; Marcel ; Fricke ; 9.1.1951 ; Zum Burgschemm 150 ;54518; Minderlittgen ; 06571 / 2692607 ; 0150 / 2840007 ; 06571 / 83123151 ; m.fricke@mail.xyz ; ja
